row_id,itemid,label,abbreviation,linksto
0,226228,gender,gender,chartevents
1,226545,race,race,chartevents
2,229877,suction events (ch),suction events (ch),chartevents
3,229875,oxygenator visible (ch),oxygenator visible (ch),chartevents
4,229266,cannula sites visually inspected (ecmo),cannula sites visually inspected (ecmo),chartevents
5,229846,sweep (ch),sweep (ch),chartevents
6,229267,emergency equipment at bedside (ecmo),emergency equipment at bedside (ecmo),chartevents
7,229269,circuit inspected for clot (ecmo),circuit inspected for clot (ecmo),chartevents
8,229876,pump plugged into red outlet (ch),pump plugged into red outlet (ch),chartevents
9,229274,oxygenator visible (ecmo),oxygenator visible (ecmo),chartevents
10,229278,sweep (ecmo),sweep (ecmo),chartevents
11,229874,flow sensor repositioned (ch),flow sensor repositioned (ch),chartevents
12,229273,flow sensor repositioned (ecmo),flow sensor repositioned (ecmo),chartevents
13,229268,circuit configuration (ecmo),circuit configuration (ecmo),chartevents
14,229873,emergency equipment at bedside (ch),emergency equipment at bedside (ch),chartevents
15,229275,pump plugged into red outlet (ecmo),pump plugged into red outlet (ecmo),chartevents
16,229879,cannula sites visually inspected (ch),cannula sites visually inspected (ch),chartevents
17,229840,circuit configuration (ch),circuit configuration (ch),chartevents
18,229878,circuit inspected for clot (ch),circuit inspected for clot (ch),chartevents
19,229276,suction events (ecmo),suction events (ecmo),chartevents
20,220120,intra aortic ballon pump setting,intra aortic ballon pump setting,chartevents
21,227980,intra aortic balloon pump setting,iabp setting,chartevents
22,230035,accessory muscle use.,accessory muscle use.,chartevents
23,230038,look of fear,look of fear,chartevents
24,230040,paradoxical breathing,paradoxical breathing,chartevents
25,230037,hr per min,hr per min,chartevents
26,230036,grunting,grunting at end-expiration,chartevents
27,230042,rr per min,rr per min,chartevents
28,230039,nasal flaring.,nasal flaring.,chartevents
29,230041,restlessness.,restlessness.,chartevents
30,227585,gi guaiac,gi guaiac,chartevents
31,224444,gi #3 tube place check,gi #3 tube place check,chartevents
32,227590,gi #3 tube place method,gi #3 tube place method,chartevents
33,224019,bladder irrigation,bladder irrigation,chartevents
34,224792,gi #3 tube status,gi #3 tube status,chartevents
35,224814,gi #1 tube place method,gi #1 tube place method,chartevents
36,223999,oral cavity,oral cavity,chartevents
37,224000,nares r,nares r,chartevents
38,224796,ostomy,ostomy,chartevents
39,224816,gi #2 tube place method,gi #2 tube place method,chartevents
